Country,GDP_per_capita,HIV_Infection_Rate,Life_Expectancy
Afghanistan,1630,0.0006,60.4
Albania,10200,,77.7
Algeria,13000,,76.5
Andorra,42000,,82.4
Angola,6350,0.021,60.6
Antigua and Barbuda,20000,,76.7
Argentina,19800,0.004,75.9
Armenia,7020,0.002,74.3
Australia,42000,0.002,82.1
Austria,44500,0.004,80.8
Azerbaijan,15800,0.001,69.5
Bahamas,29500,0.028,73.4
Bahrain,40200,,78.5
Bangladesh,2650,0.0006,70.3
Barbados,16300,0.009,76.8
Belarus,17200,0.004,70.4
Belgium,41300,0.003,80.2
Belize,7830,0.023,73.8
Benin,1820,0.012,61.8
Bhutan,7270,0.003,72.1
Bolivia,5530,0.003,71.1
Bosnia and Herzegovina,9980,,76.4
Botswana,13800,0.234,61.6
Brazil,15100,0.003,74.5
Brunei,82500,,75
Bulgaria,15700,0.001,74.1
Burkina Faso,1470,0.011,58.8
Burundi,739,0.013,58.6
Cambodia,2660,0.006,67.6
Cameroon,2910,0.046,58.4
Canada,41600,0.003,81.7
Cape Verde,6100,0.01,74.5
Central African Republic,1020,0.046,48.8
Chad,1850,0.031,56.9
Chile,20300,0.005,79
China,10400,0.0006,76
Colombia,11700,0.005,78.9
Comoros,2470,0.001,66.3
"Congo, Dem. Rep.",682,,58.5
"Congo, Rep.",5350,0.033,60.4
Costa Rica,13300,0.003,79.8
Cote d'Ivoire,2500,0.03,58
Croatia,20800,0.0006,77
Cuba,6930,0.002,78.8
Cyprus,33200,,80.5
Czech Republic,28800,0.0006,77.9
Denmark,44400,0.002,79.8
Djibouti,2740,0.014,64.3
Dominica,10300,,73.4
Dominican Republic,11600,0.007,73.9
Ecuador,9880,0.004,75
Egypt,9980,0.0006,69.6
El Salvador,6490,0.006,73.5
Equatorial Guinea,34600,0.047,62.3
Eritrea,2100,0.006,59.2
Estonia,24500,0.013,76.2
Eswatini,8370,0.26,48
Ethiopia,1160,0.014,64
Fiji,7520,0.001,67.5
Finland,40700,0.001,80.5
France,37400,0.004,81.6
Gabon,16000,0.05,63.5
Gambia,1440,0.015,64
Georgia,7550,0.002,72.9
Germany,42700,0.001,80.5
Ghana,3370,0.015,62.3
Greece,26100,0.002,80.3
Grenada,11000,,74
Guatemala,6850,0.008,72.1
Guinea,1720,0.014,57.9
Guinea-Bissau,1510,0.025,56.6
Guyana,6110,0.011,67.4
Haiti,1570,0.018,61.6
Honduras,3980,,73.1
Hungary,22800,0.001,74.9
Iceland,40800,0.003,82.6
India,4630,,66.9
Indonesia,8860,0.003,70
Iran,18400,0.002,75.4
Iraq,13700,,74.5
Ireland,44900,0.003,80.8
Israel,30600,0.002,81.9
Italy,36300,0.004,82.1
Jamaica,8110,0.018,75.7
Japan,35800,0.0006,82.9
Jordan,9120,,78
Kazakhstan,21300,0.002,68.9
Kenya,2520,0.062,62.1
Kiribati,1750,,61.1
Kuwait,78000,,82
Kyrgyz Republic,2920,0.004,70.3
Lao,4490,0.003,64.5
Latvia,19800,0.007,73.8
Lebanon,13800,0.001,77.3
Lesotho,2580,0.233,48.5
Liberia,1150,0.01,61.8
Libya,11100,,56.3
Lithuania,22900,0.001,73.7
Luxembourg,92000,0.003,81
Madagascar,1370,0.003,61.9
Malawi,1100,0.1,56.1
Malaysia,21800,0.004,74.9
Maldives,12500,0.0006,79.8
Mali,1880,0.011,59.9
Malta,28600,0.001,80.7
Marshall Islands,3270,,63.2
Mauritania,3480,0.011,68.6
Mauritius,16600,0.01,74.3
Mexico,16500,0.002,75.5
"Micronesia, Fed. Sts.",3410,,67
Moldova,5010,0.005,70.9
Monaco,58100,,
Mongolia,8850,0.0006,66.7
Montenegro,14500,,76.1
Morocco,6700,0.002,72.3
Mozambique,984,0.113,52.5
Myanmar,3870,0.006,65.4
Namibia,8960,0.134,60.9
Nauru,7340,,
Nepal,2050,0.003,69.4
Netherlands,46600,0.002,81
New Zealand,32700,0.001,80.6
Nicaragua,4160,0.002,77.7
Niger,799,0.008,59.5
Nigeria,5210,0.037,61.1
North Korea,1720,,71
North Macedonia,11600,,76.3
Norway,62100,0.001,80.8
Oman,41900,,75
Pakistan,4100,0.001,64.7
Palau,14500,,
Palestine,4410,,74.3
Panama,17100,0.008,78.3
Papua New Guinea,3070,0.007,56.6
Paraguay,10000,0.003,74.8
Peru,10600,0.004,78
Philippines,5690,0.0006,69.3
Poland,22900,0.001,76.7
Portugal,26800,0.007,80.4
Qatar,124000,,78.5
Romania,17900,0.001,74.5
Russia,24300,,69.8
Rwanda,1470,0.029,65.2
Samoa,5670,,72.5
San Marino,65700,,
Sao Tome and Principe,2610,0.01,69.3
Saudi Arabia,48500,,75
Senegal,2740,0.007,66.3
Serbia,13700,0.001,74.5
Seychelles,22600,,73.3
Sierra Leone,1260,0.016,56.1
Singapore,76000,0.001,83.4
Slovak Republic,25800,0.0006,75.9
Slovenia,28800,0.001,79.8
Solomon Islands,2070,,62
Somalia,614,0.007,55.4
South Africa,12200,0.173,57.9
South Korea,31200,0.0006,80.9
South Sudan,3700,0.031,57.5
Spain,32100,0.004,82.1
Sri Lanka,9160,0.0006,75.9
St. Kitts and Nevis,24800,,
St. Lucia,12000,,75.6
St. Vincent and the Grenadines,9970,,72.8
Sudan,3640,0.004,68
Suriname,14800,0.01,71.7
Sweden,43800,0.002,81.6
Switzerland,56200,0.004,82.8
Syria,5980,,74.5
Tajikistan,2250,0.003,69.9
Tanzania,2330,0.058,61.8
Thailand,13500,0.012,77.3
Timor-Leste,9860,,70.3
Togo,1290,0.034,60
Tonga,5150,,71.1
Trinidad and Tobago,31000,0.015,74.4
Tunisia,10100,0.0006,77
Turkey,19700,0.0006,77.8
Turkmenistan,11200,,69.8
Tuvalu,3180,,
Uganda,1680,0.072,60.2
Ukraine,8280,0.008,71.5
United Arab Emirates,56600,,72.9
United Kingdom,36800,0.003,80.8
United States,49900,0.006,78.8
Uruguay,18000,0.006,76.3
Uzbekistan,4470,,69.1
Vanuatu,2910,,64.1
Venezuela,17300,0.005,75.3
Vietnam,4660,0.005,73.6
Yemen,3880,0.002,68.1
Zambia,3420,0.125,57.5
Zimbabwe,2170,0.149,52.4